signal,fire_ts,date,hour_utc,rv_rank,dte,delta_target,call_strike,call_actual_delta,call_delta_dist,call_actual_iv,call_ask_usd,call_bid_usd,call_spread_pct,put_strike,put_actual_delta,put_delta_dist,put_actual_iv,put_ask_usd,put_bid_usd,put_spread_pct,straddle_ask_usd,straddle_bid_usd,straddle_spread_pct,straddle_pct_spot,spot_usd,hours_to_expiry,available,skip_reason
pullback,2026-01-29T20:00:00+00:00,2026-01-29,20,0.9667,4,0.15,88000.0,0.1181,0.0319,40.53,192.72,167.58,13.04,80000.0,-0.1724,0.0224,52.83,418.96,385.44,8.0,611.68,553.03,9.59,0.73,83791.99,84.0,True,
pullback,2026-01-29T20:00:00+00:00,2026-01-29,20,0.9667,4,0.2,87000.0,0.185,0.015,40.53,335.17,301.65,10.0,81000.0,-0.227,0.027,49.79,586.54,502.75,14.29,921.71,804.4,12.73,1.1,83791.99,84.0,True,
pullback,2026-01-29T20:00:00+00:00,2026-01-29,20,0.9667,4,0.25,86000.0,0.2768,0.0268,41.34,586.54,502.75,14.29,81000.0,-0.227,0.023,49.79,586.54,502.75,14.29,1173.09,1005.5,14.29,1.4,83791.99,84.0,True,
pullback,2026-01-29T20:00:00+00:00,2026-01-29,20,0.9667,4,0.3,86000.0,0.2768,0.0232,41.34,586.54,502.75,14.29,82000.0,-0.3026,0.0026,47.35,796.02,712.23,10.53,1382.57,1214.98,12.12,1.65,83791.99,84.0,True,
pullback,2026-01-29T20:00:00+00:00,2026-01-29,20,0.9667,4,0.35,85000.0,0.3808,0.0308,41.38,921.71,837.92,9.09,83000.0,-0.3952,0.0452,45.1,1089.3,1005.5,7.69,2011.01,1843.42,8.33,2.4,83791.99,84.0,True,
pullback,2026-01-29T20:00:00+00:00,2026-01-29,20,0.9667,4,0.4,85000.0,0.3808,0.0192,41.38,921.71,837.92,9.09,83000.0,-0.3952,0.0049,45.1,1089.3,1005.5,7.69,2011.01,1843.42,8.33,2.4,83791.99,84.0,True,
pullback,2026-02-01T00:00:00+00:00,2026-02-01,0,0.9194,1,0.1,83000.0,0.0817,0.0183,62.67,125.76,102.18,18.75,74000.0,-0.1045,0.0045,82.03,212.23,180.79,14.81,337.99,282.97,16.28,0.43,78602.57,32.0,True,
pullback,2026-02-01T00:00:00+00:00,2026-02-01,0,0.9194,1,0.15,82000.0,0.1359,0.0141,61.34,212.23,180.79,14.81,75000.0,-0.1458,0.0042,76.46,282.97,251.53,11.11,495.2,432.31,12.7,0.63,78602.57,32.0,True,
pullback,2026-02-01T00:00:00+00:00,2026-02-01,0,0.9194,1,0.2,81000.0,0.2206,0.0206,61.25,377.29,345.85,8.33,76000.0,-0.2077,0.0077,71.96,432.31,377.29,12.73,809.61,723.14,10.68,1.03,78602.57,32.0,True,
pullback,2026-02-01T00:00:00+00:00,2026-02-01,0,0.9194,1,0.25,81000.0,0.2206,0.0294,61.25,377.29,345.85,8.33,76000.0,-0.2077,0.0423,71.96,432.31,377.29,12.73,809.61,723.14,10.68,1.03,78602.57,32.0,True,
