bucket,win_rate,n,feature,target,threshold
"(0.467, 0.568]",0.3614088820826952,653,range_ratio,mag_win_2p5,2.5
"(0.568, 0.66]",0.33690658499234305,653,range_ratio,mag_win_2p5,2.5
"(0.66, 0.75]",0.35068912710566613,653,range_ratio,mag_win_2p5,2.5
"(0.75, 0.853]",0.34150076569678406,653,range_ratio,mag_win_2p5,2.5
"(0.853, 0.979]",0.36809815950920244,652,range_ratio,mag_win_2p5,2.5
"(0.979, 1.136]",0.38284839203675347,653,range_ratio,mag_win_2p5,2.5
"(1.136, 1.359]",0.4211332312404288,653,range_ratio,mag_win_2p5,2.5
"(1.359, 1.738]",0.44716692189892804,653,range_ratio,mag_win_2p5,2.5
"(1.738, 8.685]",0.49617151607963245,653,range_ratio,mag_win_2p5,2.5
"(-4.897, -0.42]",0.32924961715160794,653,ret_1h,call_win_2p5,2.5
"(-0.42, -0.238]",0.17304747320061256,653,ret_1h,call_win_2p5,2.5
"(-0.238, -0.144]",0.18223583460949463,653,ret_1h,call_win_2p5,2.5
"(-0.144, -0.0645]",0.16079632465543645,653,ret_1h,call_win_2p5,2.5
"(-0.0645, 0.00299]",0.18223583460949463,653,ret_1h,call_win_2p5,2.5
"(0.00299, 0.0743]",0.14877300613496933,652,ret_1h,call_win_2p5,2.5
"(0.0743, 0.152]",0.14854517611026033,653,ret_1h,call_win_2p5,2.5
"(0.152, 0.261]",0.2006125574272588,653,ret_1h,call_win_2p5,2.5
"(0.261, 0.441]",0.20520673813169985,653,ret_1h,call_win_2p5,2.5
"(0.441, 5.027]",0.28637059724349156,653,ret_1h,call_win_2p5,2.5
"(-5.046, -0.875]",0.35222052067381315,653,ret_4h,call_win_2p5,2.5
"(-0.875, -0.5]",0.21951219512195122,656,ret_4h,call_win_2p5,2.5
"(-0.5, -0.273]",0.13650306748466257,652,ret_4h,call_win_2p5,2.5
"(-0.273, -0.12]",0.1303680981595092,652,ret_4h,call_win_2p5,2.5
"(-0.12, 0.00133]",0.10736196319018405,652,ret_4h,call_win_2p5,2.5
"(0.00133, 0.154]",0.1579754601226994,652,ret_4h,call_win_2p5,2.5
